Informazioni cronologiche,Language/Lingua:,What gender do you identify with?,How old are you?,Where are you from?,Did you continue your studies after high school?,Sesso:,Età:,Continente di provenienza:,Hai continuato gli studi dopo le scuole superiori?,What is your educational background?,In che campo hai studiato?,Are you employed?,Do you spend a lot of time outdoor?,Hai un lavoro?,Passi molto tempo all'aria aperta?,"Assuming you are interested in the product, which is the maximum amount of money you would pay for it? (€)","Assumendo ti interessi il prodotto, qual è la cifra massima che spenderesti per acquistarlo? (€)"
15/03/2019 11.58.50,Italiano,,,,,Maschio,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,Sì,,150
15/03/2019 11.59.40,English,Female,28,Asia,Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,20,
15/03/2019 12.02.04,English,Male,24,"Southern Europe (Greece, Italy, Portugal, Spain, ...)",Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,130,
15/03/2019 12.06.44,English,Male,23,Asia,Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,150,
15/03/2019 12.08.24,English,Male,25,North America,Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,Yes,Yes,,,300,
15/03/2019 12.10.32,English,Male,22,Asia,Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,No,,,20,
15/03/2019 12.11.47,English,Male,27,"Southern Europe (Greece, Italy, Portugal, Spain, ...)",Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,Yes,Yes,,,50,
15/03/2019 12.17.54,English,Male,21,Asia,Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,15,
15/03/2019 12.18.02,English,Female,19,Asia,Yes,,,,,"Humanistic (Languages, Law, Literature, ...)",,No,Yes,,,80,
15/03/2019 12.29.28,Italiano,,,,,Maschio,53,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,35
15/03/2019 12.48.47,Italiano,,,,,Femmina,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,140
15/03/2019 12.48.55,Italiano,,,,,Femmina,17,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,130
15/03/2019 12.53.19,Italiano,,,,,Femmina,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,70
15/03/2019 12.53.49,Italiano,,,,,Femmina,17,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,20
15/03/2019 13.00.51,Italiano,,,,,Maschio,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,50
15/03/2019 13.02.33,English,Male,22,Asia,Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,3,
15/03/2019 13.05.24,English,Female,20,"Southern Europe (Greece, Italy, Portugal, Spain, ...)",Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,50,
15/03/2019 13.06.13,English,Female,21,"Southern Europe (Greece, Italy, Portugal, Spain, ...)",Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,No,,,13,
15/03/2019 13.06.29,English,Male,20,"Eastern Europe (Czech Republic, Estonia, Hungary, Latvia, Lithuania, Russia, ... )",Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,45,
15/03/2019 13.07.12,English,Male,21,"Southern Europe (Greece, Italy, Portugal, Spain, ...)",Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,20,
15/03/2019 13.10.58,Italiano,,,,,Femmina,21,"Europa Orientale (Repubblica Ceca, Estonia, Ungheria, Lettonia, Lituania, Russia, ... )",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,50
15/03/2019 13.12.35,English,Female,21,"Eastern Europe (Czech Republic, Estonia, Hungary, Latvia, Lithuania, Russia, ... )",Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,20,
15/03/2019 13.31.33,English,Female,20,"Eastern Europe (Czech Republic, Estonia, Hungary, Latvia, Lithuania, Russia, ... )",Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,100,
15/03/2019 13.33.23,English,Female,24,Asia,Yes,,,,,"Humanistic (Languages, Law, Literature, ...)",,No,Yes,,,50,
15/03/2019 13.34.54,English,Female,22,Asia,Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,No,,,20,
15/03/2019 13.45.07,Italiano,,,,,Femmina,16,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,50
15/03/2019 14.13.01,English,Male,20,"Eastern Europe (Czech Republic, Estonia, Hungary, Latvia, Lithuania, Russia, ... )",Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,10,
15/03/2019 15.07.50,English,Male,23,North America,Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,40,
15/03/2019 15.39.15,English,Male,25,Asia,Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,No,,,129,
15/03/2019 15.47.53,English,Female,20,"Southern Europe (Greece, Italy, Portugal, Spain, ...)",Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,45,
15/03/2019 15.50.48,English,Female,18,Africa,Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,20,
15/03/2019 15.59.31,Italiano,,,,,Maschio,60,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,80
15/03/2019 16.18.50,Italiano,,,,,Maschio,24,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,100
15/03/2019 16.21.53,English,Male,35,Asia,Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,150,
15/03/2019 17.24.46,Italiano,,,,,Maschio,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,No,,150
15/03/2019 17.48.02,English,Female,28,Asia,Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,90,
15/03/2019 17.59.27,English,Female,30,Asia,Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,90,
15/03/2019 18.13.33,Italiano,,,,,Femmina,58,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,150
15/03/2019 20.21.38,English,Male,25,Asia,Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,No,,,20,
16/03/2019 3.50.29,Italiano,,,,,Femmina,17,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,No,Sì,,50
16/03/2019 3.54.20,Italiano,,,,,Femmina,17,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,80
16/03/2019 3.57.52,Italiano,,,,,Femmina,18,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,100
16/03/2019 4.01.06,Italiano,,,,,Maschio,60,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,No,Sì,,20
16/03/2019 4.03.19,Italiano,,,,,Maschio,72,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,No,No,,35
16/03/2019 4.14.47,Italiano,,,,,Maschio,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,100
16/03/2019 4.19.18,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,200
16/03/2019 4.27.37,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,250
16/03/2019 4.31.35,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,60
16/03/2019 4.35.01,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,200
16/03/2019 4.37.25,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,No,,150
16/03/2019 4.38.45,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,300
16/03/2019 4.43.38,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,No,,300
16/03/2019 4.49.58,English,Female,22,"Eastern Europe (Czech Republic, Estonia, Hungary, Latvia, Lithuania, Russia, ... )",Yes,,,,,"Humanistic (Languages, Law, Literature, ...)",,No,No,,,1,
